Ward Code,Ward Name ,Time Period,Latest Mid-Year Population Estimates for Ward,All Crimes (number),All Crimes (rate per 1000 ward population),Violent & Sexual Offences (number),Violent & Sexual Offences (rate per 1000 ward population),Burglary (number),Burglary (rate per 1000 ward population),geo_point_2d
E05010890,Brislington East,2018/19,11892,751,63.15169862,279,23.46115035,59,4.961318533,"51.4402818459, -2.53865430791"
E05010892,Central,2018/19,20656,8672,419.8295895,2166,104.8605732,484,23.43144849,"51.4544133988, -2.5943380148"
E05010900,Hartcliffe & Withywood,2018/19,19005,2653,139.5948435,1114,58.61615364,115,6.0510392,"51.4077018278, -2.61221964855"
E05010912,St George West,2018/19,6518,669,102.6388463,240,36.82111077,68,10.43264805,"51.4601158409, -2.54693991989"
E05010913,Southmead,2018/19,12632,1171,92.70107663,477,37.76124129,88,6.966434452,"51.5030607461, -2.60111976195"
E05010892,Central,2019/20,20656,8570,414.8915569,2129,103.0693261,337,16.31487219,"51.4544133988, -2.5943380148"
E05010899,Frome Vale,2019/20,13477,1393,103.3612822,449,33.31601989,72,5.34243526,"51.4870891243, -2.53119979349"
E05010906,Knowle,2019/20,13345,990,74.18508805,379,28.40014987,60,4.496065942,"51.4327758412, -2.57233571619"
E05010913,Southmead,2019/20,12902,1126,87.27329096,435,33.71570299,76,5.890559603,"51.5030607461, -2.60111976195"
E05010915,Stockwood,2019/20,11580,889,76.77029361,349,30.13816926,53,4.576856649,"51.4184164447, -2.54973483036"
E05010893,Clifton,2016/17,13233,672,50.78213557,111,8.388120608,72,5.440943097,"51.4565140849, -2.61996584156"
E05010898,Filwood,2016/17,13830,1755,126.8980477,639,46.20390456,121,8.749096168,"51.4254172924, -2.5928043945"
E05010901,Henbury & Brentry,2016/17,12275,1147,93.44195519,416,33.89002037,115,9.368635438,"51.5089723054, -2.62103738819"
E05010907,Lawrence Hill,2016/17,18884,3549,187.9368778,1152,61.00402457,243,12.86803643,"51.4545915255, -2.57123550176"
E05010885,Ashley,2017/18,19019,2889,151.9007308,894,47.00562595,183,9.62195699,"51.4683087281, -2.58267455617"
E05010892,Central,2017/18,18798,8490,451.6437919,2142,113.9482924,466,24.78987126,"51.4544133988, -2.5943380148"
E05010899,Frome Vale,2017/18,13281,1509,113.6209623,462,34.78653716,134,10.08960169,"51.4870891243, -2.53119979349"
E05010904,Horfield,2017/18,13347,1564,117.1798906,461,34.53959691,323,24.2001948,"51.4950829067, -2.58638069196"
E05010916,Stoke Bishop,2017/18,12195,556,45.59245592,126,10.33210332,69,5.658056581,"51.477424266, -2.6360462691"
E05010889,Bishopsworth,2018/19,11425,1391,121.750547,400,35.01094092,86,7.527352298,"51.4217865816, -2.61645797497"
E05010891,Brislington West,2018/19,11336,1287,113.5321101,431,38.02046577,83,7.321806634,"51.4343921365, -2.54907070184"
E05010893,Clifton,2018/19,13581,781,57.50681099,181,13.32744275,85,6.258743833,"51.4565140849, -2.61996584156"
E05010897,Eastville,2018/19,14696,1616,109.9618944,577,39.26238432,98,6.668481219,"51.4747087486, -2.54692742667"
E05010902,Hengrove & Whitchurch Park,2018/19,17222,1633,94.82057833,616,35.76820346,114,6.619440251,"51.411540582, -2.57721384968"
E05010904,Horfield,2018/19,13415,1256,93.62653746,451,33.61908312,111,8.274319791,"51.4950829067, -2.58638069196"
E05010914,Southville,2018/19,12671,2105,166.1273775,519,40.95967169,118,9.312603583,"51.4433202033, -2.60399275913"
E05010918,Windmill Hill,2018/19,13735,904,65.81725519,310,22.57007645,63,4.586821988,"51.4390956172, -2.58594642944"
E05010887,Bedminster,2019/20,12517,1202,96.02940002,353,28.20164576,103,8.22880882,"51.4371586391, -2.62187520686"
E05010896,Easton,2019/20,14169,1377,97.18399322,521,36.77041428,70,4.940362764,"51.4623705993, -2.5585063858"
E05010904,Horfield,2019/20,13415,1565,116.6604547,617,45.99329109,118,8.796123742,"51.4950829067, -2.58638069196"
E05010907,Lawrence Hill,2019/20,19473,3481,178.7603348,1175,60.33995789,155,7.959739126,"51.4545915255, -2.57123550176"
E05010886,Avonmouth & Lawrence Weston,2016/17,21220,2397,112.9594722,826,38.92554194,182,8.576814326,"51.5073327319, -2.67640730493"
E05010895,Cotham,2016/17,11880,761,64.05723906,132,11.11111111,111,9.343434343,"51.4659621213, -2.59991279554"
E05010904,Horfield,2016/17,13435,1527,113.658355,445,33.12244138,249,18.53368068,"51.4950829067, -2.58638069196"
E05010905,Hotwells & Harbourside,2016/17,5543,2337,421.612845,737,132.9604907,124,22.37055746,"51.4497266657, -2.60958061728"
E05010910,St George Central,2016/17,12955,1255,96.8737939,378,29.17792358,171,13.19953686,"51.4621388592, -2.52638370327"
E05010888,Bishopston & Ashley Down,2017/18,13280,1120,84.3373494,257,19.35240964,153,11.52108434,"51.4814520531, -2.5864650978"
E05010905,Hotwells & Harbourside,2017/18,6006,2218,369.2973693,754,125.5411255,108,17.98201798,"51.4497266657, -2.60958061728"
E05010908,Lockleaze,2017/18,13339,1405,105.3302347,447,33.51075793,133,9.970762426,"51.4858549686, -2.56566829252"
E05010910,St George Central,2017/18,12931,1099,84.98955997,400,30.93341582,128,9.898693063,"51.4621388592, -2.52638370327"
E05010905,Hotwells & Harbourside,2018/19,6056,2181,360.1387054,692,114.2668428,131,21.63143989,"51.4497266657, -2.60958061728"
E05010906,Knowle,2018/19,13345,988,74.03521918,331,24.80329712,88,6.594230049,"51.4327758412, -2.57233571619"
E05010916,Stoke Bishop,2018/19,12068,604,50.04971826,143,11.84951939,68,5.634736493,"51.477424266, -2.6360462691"
E05010893,Clifton,2019/20,13581,837,61.63021869,166,12.22295855,70,5.154259627,"51.4565140849, -2.61996584156"
E05010897,Eastville,2019/20,14696,1669,113.5683179,590,40.14697877,98,6.668481219,"51.4747087486, -2.54692742667"
E05010903,Hillfields,2019/20,12898,987,76.52349201,404,31.32268569,61,4.729415413,"51.4737002198, -2.52257598809"
E05010912,St George West,2019/20,12671,673,53.11340857,219,17.28356089,47,3.709257359,"51.4601158409, -2.54693991989"
E05010891,Brislington West,2016/17,11212,1382,123.260792,372,33.17873707,125,11.14876918,"51.4343921365, -2.54907070184"
E05010892,Central,2016/17,17151,8088,471.5760014,1951,113.7543,399,23.26394962,"51.4544133988, -2.5943380148"
E05010917,Westbury-on-Trym & Henleaze,2016/17,19624,1406,71.6469629,180,9.172441908,241,12.28088055,"51.4897935392, -2.61748538616"
E05010918,Windmill Hill,2016/17,13511,1113,82.37732218,351,25.97883206,96,7.10532159,"51.4390956172, -2.58594642944"
E05010898,Filwood,2017/18,13801,1722,124.7735671,654,47.38787044,92,6.66618361,"51.4254172924, -2.5928043945"
E05010885,Ashley,2018/19,19083,2675,140.177121,787,41.24089504,178,9.327673846,"51.4683087281, -2.58267455617"
E05010899,Frome Vale,2018/19,13477,1417,105.1420939,541,40.14246494,74,5.49083624,"51.4870891243, -2.53119979349"
E05010907,Lawrence Hill,2018/19,19473,3159,162.2246187,1041,53.45863503,186,9.551686951,"51.4545915255, -2.57123550176"
E05010895,Cotham,2019/20,12110,688,56.81255161,152,12.55161024,62,5.119735756,"51.4659621213, -2.59991279554"
E05010901,Henbury & Brentry,2019/20,12473,1273,102.0604506,549,44.01507256,67,5.371602662,"51.5089723054, -2.62103738819"
E05010910,St George Central,2019/20,6518,1061,162.7799939,387,59.37404112,114,17.49002762,"51.4621388592, -2.52638370327"
E05010916,Stoke Bishop,2019/20,12068,537,44.49784554,155,12.84388465,57,4.723235002,"51.477424266, -2.6360462691"
E05010918,Windmill Hill,2019/20,13735,955,69.5303968,292,21.25955588,69,5.023662177,"51.4390956172, -2.58594642944"
E05010902,Hengrove & Whitchurch Park,2016/17,17596,1966,111.7299386,565,32.10957036,169,9.604455558,"51.411540582, -2.57721384968"
E05010913,Southmead,2016/17,12841,1377,107.234639,478,37.22451522,106,8.254808816,"51.5030607461, -2.60111976195"
E05010886,Avonmouth & Lawrence Weston,2017/18,21191,2377,112.170261,771,36.3833703,158,7.45599547,"51.5073327319, -2.67640730493"
E05010889,Bishopsworth,2017/18,11463,1606,140.1029399,464,40.47805984,126,10.99188694,"51.4217865816, -2.61645797497"
E05010897,Eastville,2017/18,14621,1607,109.9104028,503,34.40257164,159,10.87476917,"51.4747087486, -2.54692742667"
E05010912,St George West,2017/18,6520,678,103.9877301,225,34.50920245,68,10.42944785,"51.4601158409, -2.54693991989"
E05010896,Easton,2018/19,14169,1377,97.18399322,502,35.42945868,71,5.010939375,"51.4623705993, -2.5585063858"
E05010909,Redland,2018/19,13088,772,58.98533007,185,14.13508557,97,7.411369193,"51.4752437813, -2.60115989823"
E05010910,St George Central,2018/19,12902,1105,85.64563634,459,35.57587971,118,9.145868858,"51.4621388592, -2.52638370327"
E05010915,Stockwood,2018/19,11580,820,70.81174439,290,25.04317789,59,5.094991364,"51.4184164447, -2.54973483036"
E05010885,Ashley,2019/20,19083,2733,143.2164754,890,46.63836923,164,8.594036577,"51.4683087281, -2.58267455617"
E05010886,Avonmouth & Lawrence Weston,2019/20,21375,2322,108.6315789,967,45.23976608,128,5.988304094,"51.5073327319, -2.67640730493"
E05010900,Hartcliffe & Withywood,2019/20,19005,2445,128.6503552,1050,55.24861878,106,5.577479611,"51.4077018278, -2.61221964855"
E05010917,Westbury-on-Trym & Henleaze,2019/20,19971,867,43.41294878,190,9.513795003,124,6.209003054,"51.4897935392, -2.61748538616"
E05010896,Easton,2016/17,14105,1526,108.1885856,529,37.50443105,192,13.61219426,"51.4623705993, -2.5585063858"
E05010899,Frome Vale,2016/17,13002,1522,117.058914,415,31.91816644,174,13.38255653,"51.4870891243, -2.53119979349"
E05010900,Hartcliffe & Withywood,2016/17,18866,2453,130.0222623,945,50.09010919,161,8.533870455,"51.4077018278, -2.61221964855"
E05010908,Lockleaze,2016/17,13240,1322,99.8489426,438,33.081571,127,9.592145015,"51.4858549686, -2.56566829252"
E05010916,Stoke Bishop,2016/17,12103,584,48.25249938,114,9.419152276,93,7.684045278,"51.477424266, -2.6360462691"
E05010887,Bedminster,2017/18,12446,1121,90.06909851,343,27.55905512,107,8.597139643,"51.4371586391, -2.62187520686"
E05010906,Knowle,2017/18,13315,1063,79.83477281,346,25.98573038,97,7.285016898,"51.4327758412, -2.57233571619"
E05010911,St George Troopers Hill,2017/18,5826,215,36.90353587,79,13.55990388,21,3.604531411,"51.4534343901, -2.53032305762"
E05010918,Windmill Hill,2017/18,13673,1071,78.3295546,355,25.96357785,98,7.167410225,"51.4390956172, -2.58594642944"
E05010886,Avonmouth & Lawrence Weston,2018/19,21375,2288,107.0409357,887,41.49707602,136,6.362573099,"51.5073327319, -2.67640730493"
E05010887,Bedminster,2018/19,12517,1036,82.76743629,325,25.96468802,69,5.512502996,"51.4371586391, -2.62187520686"
E05010888,Bishopston & Ashley Down,2018/19,13415,900,67.08907939,238,17.74133433,96,7.156168468,"51.4814520531, -2.5864650978"
E05010911,St George Troopers Hill,2018/19,5834,209,35.8244772,72,12.34144669,25,4.285224546,"51.4534343901, -2.53032305762"
,Bristol,2018/19,463405,52203,112.6509209,16776,36.20159472,3709,8.003797974,
E05010889,Bishopsworth,2019/20,11425,1296,113.4354486,470,41.13785558,86,7.527352298,"51.4217865816, -2.61645797497"
E05010894,Clifton Down,2019/20,11639,776,66.67239454,152,13.0595412,53,4.553655812,"51.4649683928, -2.61265915115"
